Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
p2_chestArmor_norm_set_06_cdr_M_icon	0.200195	0.332031	0.231445	0.582031	410	170	474	298
p3_chestArmor_norm_set_04_WD_M	0.233398	0.332031	0.264648	0.582031	478	170	542	298
p3_chestArmor_norm_set_04_WD_F	0.266602	0.332031	0.297852	0.582031	546	170	610	298
p4_chestArmor_norm_set_15_barb_icon	0.882813	0.003906	0.922852	0.324219	1808	2	1890	166
p4_chestArmor_norm_set_15_dh_icon	0.840820	0.003906	0.880859	0.324219	1722	2	1804	166
p4_chestArmor_norm_set_15_monk_icon	0.798828	0.003906	0.838867	0.324219	1636	2	1718	166
p4_chestArmor_norm_set_15_wd_icon	0.756836	0.003906	0.796875	0.324219	1550	2	1632	166
p4_chestArmor_norm_set_15_wiz_icon	0.714844	0.003906	0.754883	0.324219	1464	2	1546	166
p4_chestArmor_norm_set_15_cdr_icon	0.672852	0.003906	0.712891	0.324219	1378	2	1460	166
p6_chestArmor_norm_base_02_NM_icon	0.499023	0.332031	0.530273	0.582031	1022	170	1086	298
p6_chestArmor_norm_base_02_NM_F_icon	0.532227	0.332031	0.563477	0.582031	1090	170	1154	298
p6_chestArmor_norm_base_03_NM_icon	0.565430	0.332031	0.596680	0.582031	1158	170	1222	298
p6_chestArmor_norm_base_03_NM_F_icon	0.598633	0.332031	0.629883	0.582031	1226	170	1290	298
p6_chestArmor_norm_base_06_NM_icon	0.631836	0.332031	0.663086	0.582031	1294	170	1358	298
p6_chestArmor_nightmare_base_01_NM_icon	0.665039	0.332031	0.696289	0.582031	1362	170	1426	298
p6_chestArmor_nightmare_base_01_NM_F_icon	0.698242	0.332031	0.729492	0.582031	1430	170	1494	298
p6_chestArmor_hell_base_01_NM_icon	0.731445	0.332031	0.762695	0.582031	1498	170	1562	298
p6_chestArmor_hell_base_03_NM_icon	0.764648	0.332031	0.795898	0.582031	1566	170	1630	298
p6_chestArmor_hell_base_07_NM_icon	0.797852	0.332031	0.829102	0.582031	1634	170	1698	298
p6_chestArmor_hell_base_08_NM_icon	0.831055	0.332031	0.862305	0.582031	1702	170	1766	298
p6_chestArmor_norm_set_17_NM_icon	0.864258	0.332031	0.895508	0.582031	1770	170	1834	298
p6_chestArmor_norm_set_18_nm_icon	0.897461	0.332031	0.928711	0.582031	1838	170	1902	298
p6_chestArmor_norm_set_19_nm_icon	0.930664	0.332031	0.961914	0.582031	1906	170	1970	298
p6_chestArmor_norm_set_20_nm_icon	0.963867	0.332031	0.995117	0.582031	1974	170	2038	298
p6_chestArmor_norm_set_21_nm_icon	0.000977	0.589844	0.032227	0.839844	2	302	66	430
p6_chestArmor_norm_set_22_nm_icon	0.034180	0.589844	0.065430	0.839844	70	302	134	430
p6_chestArmor_Hell_Base_03_Necro_icon	0.924805	0.003906	0.964844	0.324219	1894	2	1976	166
p67_chestArmor_cdrM_season_set_01_icon	0.100586	0.589844	0.131836	0.839844	206	302	270	430
p67_chestArmor_cdrF_season_set_01_icon	0.133789	0.589844	0.165039	0.839844	274	302	338	430
p67_chestArmor_monkM_season_set_01_icon	0.166992	0.589844	0.198242	0.839844	342	302	406	430
p67_chestArmor_monkF_season_set_01_icon	0.200195	0.589844	0.231445	0.839844	410	302	474	430
